time ,strain(micro),F
1.44E-04,2536.676599,-0.345104132
0.0001448,2536.993244,-0.343006483
1.45E-04,2537.313831,-0.340953117
0.0001456,2537.637921,-0.338945136
1.46E-04,2537.965071,-0.336983602
0.0001464,2538.294834,-0.335069534
1.47E-04,2538.62676,-0.333203905
0.0001472,2538.960399,-0.331387644
1.48E-04,2539.295298,-0.329621636
0.000148,2539.631,-0.327906719
1.48E-04,2539.967051,-0.326243686
0.0001488,2540.302994,-0.324633283
1.49E-04,2540.638371,-0.323076209
0.0001496,2540.972726,-0.321573117
1.50E-04,2541.305603,-0.320124612
0.0001504,2541.636546,-0.318731252
1.51E-04,2541.965102,-0.317393549
0.0001512,2542.290817,-0.316111964
1.52E-04,2542.613242,-0.314886915
0.000152,2542.931928,-0.313718768
1.52E-04,2543.246432,-0.312607847
0.0001528,2543.556311,-0.311554424
1.53E-04,2543.861128,-0.310558728
0.0001536,2544.160449,-0.309620939
1.54E-04,2544.453844,-0.308741192
0.0001544,2544.740889,-0.307919576
1.55E-04,2545.021164,-0.307156134
0.0001552,2545.294255,-0.306450866
1.56E-04,2545.559754,-0.305803726
0.000156,2545.817259,-0.305214624
1.56E-04,2546.066374,-0.304683429
0.0001568,2546.306711,-0.304209965
1.57E-04,2546.537888,-0.303794016
0.0001576,2546.759531,-0.303435326
1.58E-04,2546.971275,-0.303133595
0.0001584,2547.17276,-0.302888488
1.59E-04,2547.363638,-0.30269963
0.0001592,2547.543567,-0.302566608
1.60E-04,2547.712215,-0.302488974
0.00016,2547.869259,-0.302466242
1.60E-04,2548.014387,-0.302497894
0.0001608,2548.147294,-0.302583378
1.61E-04,2548.267687,-0.30272211
0.0001616,2548.375283,-0.302913473
1.62E-04,2548.469808,-0.303156823
0.0001624,2548.551,-0.303451484
1.63E-04,2548.618607,-0.303796755
0.0001632,2548.67239,-0.304191908
1.64E-04,2548.712119,-0.30463619
0.000164,2548.737576,-0.305128822
1.64E-04,2548.748554,-0.305669004
0.0001648,2548.74486,-0.306255917
1.65E-04,2548.726311,-0.306888718
0.0001656,2548.692735,-0.307566548
1.66E-04,2548.643975,-0.308288528
0.0001664,2548.579883,-0.309053767
1.67E-04,2548.500326,-0.309861357
0.0001672,2548.405182,-0.310710375
1.68E-04,2548.294341,-0.311599888
0.000168,2548.167707,-0.312528953
1.68E-04,2548.025196,-0.313496615
0.0001688,2547.866736,-0.314501915
1.69E-04,2547.692269,-0.315543882
0.0001696,2547.501747,-0.316621544
1.70E-04,2547.295139,-0.317733923
0.0001704,2547.072422,-0.318880037
1.71E-04,2546.833589,-0.320058905
0.0001712,2546.578645,-0.321269543
1.72E-04,2546.307606,-0.322510969
0.000172,2546.020502,-0.323782203
1.72E-04,2545.717376,-0.325082269
0.0001728,2545.398283,-0.326410192
1.73E-04,2545.063289,-0.327765006
0.0001736,2544.712474,-0.329145749
1.74E-04,2544.345929,-0.330551467
0.0001744,2543.963759,-0.331981215
1.75E-04,2543.566079,-0.333434057
0.0001752,2543.153016,-0.334909067
1.76E-04,2542.72471,-0.33640533
0.000176,2542.281311,-0.337921944
1.76E-04,2541.822983,-0.339458018
0.0001768,2541.349897,-0.341012675
1.77E-04,2540.86224,-0.342585054
0.0001776,2540.360206,-0.344174306
1.78E-04,2539.844002,-0.3457796
0.0001784,2539.313843,-0.347400119
1.79E-04,2538.769958,-0.349035064
0.0001792,2538.212583,-0.350683652
1.80E-04,2537.641965,-0.352345117
0.00018,2537.05836,-0.354018711
1.80E-04,2536.462035,-0.355703705
0.0001808,2535.853264,-0.357399386
1.81E-04,2535.232331,-0.359105063
0.0001816,2534.599529,-0.360820059
1.82E-04,2533.955159,-0.362543719
0.0001824,2533.29953,-0.364275405
1.83E-04,2532.632958,-0.366014499
0.0001832,2531.955767,-0.3677604
1.84E-04,2531.26829,-0.369512528
0.000184,2530.570864,-0.371270318
1.84E-04,2529.863835,-0.373033225
0.0001848,2529.147555,-0.374800723
1.85E-04,2528.42238,-0.376572302
0.0001856,2527.688674,-0.378347469
1.86E-04,2526.946806,-0.380125748
0.0001864,2526.197148,-0.381906681
1.87E-04,2525.440081,-0.383689824
0.0001872,2524.675986,-0.385474749
1.88E-04,2523.90525,-0.387261044
0.000188,2523.128265,-0.38904831
1.88E-04,2522.345424,-0.390836162
0.0001888,2521.557126,-0.392624228
1.89E-04,2520.76377,-0.394412149
0.0001896,2519.965758,-0.396199577
1.90E-04,2519.163496,-0.397986174
0.0001904,2518.35739,-0.399771614
1.91E-04,2517.547848,-0.40155558
0.0001912,2516.735279,-0.40333776
1.92E-04,2515.920094,-0.405117856
0.000192,2515.102701,-0.406895571
1.92E-04,2514.283513,-0.408670616
0.0001928,2513.462938,-0.41044271
1.93E-04,2512.641388,-0.412211571
0.0001936,2511.81927,-0.413976923
1.94E-04,2510.996992,-0.415738494
0.0001944,2510.17496,-0.41749601
1.95E-04,2509.353579,-0.4192492
0.0001952,2508.53325,-0.420997791
1.96E-04,2507.714374,-0.422741512
0.000196,2506.897346,-0.424480086
1.96E-04,2506.082562,-0.426213236
0.0001968,2505.270411,-0.427940679
1.97E-04,2504.461279,-0.429662129
0.0001976,2503.655551,-0.431377294
1.98E-04,2502.853603,-0.433085875
0.0001984,2502.05581,-0.434787568
1.99E-04,2501.262542,-0.43648206
0.0001992,2500.474161,-0.438169028
2.00E-04,2499.691027,-0.439848142
0.0002,2498.913493,-0.441519061
2.00E-04,2498.141905,-0.443181434
0.0002008,2497.376605,-0.444834899
2.01E-04,2496.617927,-0.446479081
0.0002016,2495.8662,-0.448113594
2.02E-04,2495.121743,-0.44973804
0.0002024,2494.384873,-0.451352006
2.03E-04,2493.655894,-0.452955067
0.0002032,2492.935108,-0.454546783
2.04E-04,2492.222805,-0.4561267
0.000204,2491.519269,-0.45769435
2.04E-04,2490.824776,-0.459249251
0.0002048,2490.139594,-0.460790904
2.05E-04,2489.463982,-0.462318797
0.0002056,2488.798189,-0.463832401
2.06E-04,2488.14246,-0.465331175
0.0002064,2487.497025,-0.46681456
2.07E-04,2486.86211,-0.468281983
0.0002072,2486.23793,-0.469732857
2.08E-04,2485.62469,-0.471166579
0.000208,2485.022586,-0.472582533
2.08E-04,2484.431806,-0.473980088
0.0002088,2483.852527,-0.475358599
2.09E-04,2483.284916,-0.476717409
0.0002096,2482.729133,-0.478055845
2.10E-04,2482.185325,-0.479373226
0.0002104,2481.653631,-0.480668854
2.11E-04,2481.13418,-0.481942024
0.0002112,2480.62709,-0.483192018
2.12E-04,2480.132471,-0.484418108
0.000212,2479.65042,-0.485619557
2.12E-04,2479.181028,-0.486795619
0.0002128,2478.724373,-0.48794554
2.13E-04,2478.280524,-0.48906856
0.0002136,2477.849541,-0.490163912
2.14E-04,2477.431471,-0.491230822
0.0002144,2477.026355,-0.492268516
2.15E-04,2476.634221,-0.493276211
0.0002152,2476.255089,-0.494253127
2.16E-04,2475.888968,-0.495198478
0.000216,2475.535859,-0.496111482
2.16E-04,2475.195751,-0.496991352
0.0002168,2474.868626,-0.497837309
2.17E-04,2474.554454,-0.498648573
0.0002176,2474.253196,-0.499424367
2.18E-04,2473.964806,-0.500163923
0.0002184,2473.689226,-0.500866477
2.19E-04,2473.42639,-0.501531271
0.0002192,2473.176224,-0.502157558
2.20E-04,2472.938643,-0.502744599
0.00022,2472.713554,-0.503291666
2.20E-04,2472.500858,-0.503798044
0.0002208,2472.300443,-0.50426303
2.21E-04,2472.112192,-0.504685935
0.0002216,2471.935979,-0.505066087
2.22E-04,2471.77167,-0.505402829
0.0002224,2471.619122,-0.505695521
2.23E-04,2471.478187,-0.505943545
0.0002232,2471.348706,-0.506146298
2.24E-04,2471.230516,-0.506303201
0.000224,2471.123445,-0.506413697
2.24E-04,2471.027315,-0.50647725
0.0002248,2470.94194,-0.506493349
2.25E-04,2470.867129,-0.506461508
0.0002256,2470.802684,-0.506381266
2.26E-04,2470.7484,-0.506252188
0.0002264,2470.704068,-0.506073869
2.27E-04,2470.669472,-0.505845931
0.0002272,2470.64439,-0.505568024
2.28E-04,2470.628596,-0.505239828
0.000228,2470.621859,-0.504861057
2.28E-04,2470.623942,-0.504431452
0.0002288,2470.634604,-0.503950788
2.29E-04,2470.6536,-0.503418872
0.0002296,2470.68068,-0.502835547
2.30E-04,2470.715591,-0.502200684
0.0002304,2470.758076,-0.501514194
2.31E-04,2470.807875,-0.500776019
0.0002312,2470.864723,-0.499986137
2.32E-04,2470.928354,-0.499144562
0.000232,2470.998498,-0.498251343
2.32E-04,2471.074884,-0.497306566
0.0002328,2471.157237,-0.496310352
2.33E-04,2471.245281,-0.49526286
0.0002336,2471.338738,-0.494164284
2.34E-04,2471.437327,-0.493014855
0.0002344,2471.540769,-0.491814842
2.35E-04,2471.64878,-0.49056455
0.0002352,2471.761078,-0.48926432
2.36E-04,2471.877379,-0.487914533
0.000236,2471.997398,-0.486515602
2.36E-04,2472.120852,-0.48506798
0.0002368,2472.247456,-0.483572156
2.37E-04,2472.376925,-0.482028653
0.0002376,2472.508976,-0.480438033
2.38E-04,2472.643326,-0.478800891
0.0002384,2472.779692,-0.47711786
2.39E-04,2472.917794,-0.475389605
0.0002392,2473.05735,-0.473616828
2.40E-04,2473.198084,-0.471800265
0.00024,2473.339718,-0.469940683
2.40E-04,2473.481977,-0.468038885
0.0002408,2473.624588,-0.466095707
2.41E-04,2473.767282,-0.464112015
0.0002416,2473.909788,-0.462088708
2.42E-04,2474.051843,-0.460026715
0.0002424,2474.193183,-0.457926996
2.43E-04,2474.333548,-0.45579054
0.0002432,2474.472681,-0.453618366
2.44E-04,2474.61033,-0.45141152
0.000244,2474.746244,-0.449171075
2.44E-04,2474.880177,-0.446898132
0.0002448,2475.011885,-0.444593816
2.45E-04,2475.141131,-0.442259279
0.0002456,2475.267679,-0.439895694
2.46E-04,2475.391298,-0.437504261
0.0002464,2475.511763,-0.435086199
2.47E-04,2475.628851,-0.43264275
0.0002472,2475.742344,-0.430175175
2.48E-04,2475.852031,-0.427684755
0.000248,2475.957702,-0.425172789
2.48E-04,2476.059154,-0.422640594
0.0002488,2476.15619,-0.420089503
2.49E-04,2476.248615,-0.417520864
0.0002496,2476.336241,-0.414936039
2.50E-04,2476.418885,-0.412336402
0.0002504,2476.49637,-0.409723341
2.51E-04,2476.568523,-0.407098253
